轮次 A队          B队           A进球  B进球
1    阿根廷       意大利            2      1
1    巴西         比利时            1      2
1    法国         英格兰            1      1
1    德国         荷兰              3      0
1    西班牙       葡萄牙            0      1
2    意大利       葡萄牙            2      0
2    荷兰         西班牙            1      1
2    英格兰       德国              3      1
2    比利时       法国              0      2
2    阿根廷       巴西              1      3
3    巴西         意大利            1      2
3    法国         阿根廷            2      2
3    德国         比利时            0      3
3    西班牙       英格兰            2      1
3    葡萄牙       荷兰              0      2
4    意大利       荷兰              2      1
4    英格兰       葡萄牙            0      2
4    比利时       西班牙            1      0
4    阿根廷       德国              3      1
4    巴西         法国              1      1
5    法国         意大利            2      0
5    德国         巴西              1      2
5    西班牙       阿根廷            0      3
5    葡萄牙       比利时            2      1
5    荷兰         英格兰            1      1
6    意大利       英格兰            1      0
6    比利时       荷兰              2      2
6    阿根廷       葡萄牙            2      1
6    巴西         西班牙            0      1
6    法国         德国              1      0
7    德国         意大利            2      1
7    西班牙       法国              1      0
7    葡萄牙       巴西              0      2
7    荷兰         阿根廷            1      3
7    英格兰       比利时            2      1
8    意大利       比利时            1      1
8    阿根廷       英格兰            0      2
8    巴西         荷兰              2      0
8    法国         葡萄牙            1      1
8    德国         西班牙            2      2
9    西班牙       意大利            1      0
9    葡萄牙       德国              2      1
9    荷兰         法国              0      1
9    英格兰       巴西              1      2
9    比利时       阿根廷            2      0
